RecordID,Tweet Date,Tweet Time,Daypart,Category,Topic,State,Region,Gender,Retweet Count
1,2014-12-22,09:08:00,Morning,Health & Fitness,Quit smoking,Alaska,West,Female,0
2,2014-12-23,21:04:00,Night,Family/Friends/Relationships,Spend more time with family,Alaska,West,Female,0
3,2014-12-30,00:10:00,Late Night,Personal Growth,Have more patience,Alaska,West,Male,0
4,2014-12-30,06:01:00,Early Morning,Finance,Save money,Alaska,West,Male,0
5,2014-12-30,09:08:00,Morning,Family/Friends/Relationships,Make new friends,Alaska,West,Female,0
6,2014-12-30,10:45:00,Morning,Humor,Other,Alaska,West,Male,0
7,2014-12-31,02:54:00,Late Night,Health & Fitness,Quit smoking,Alaska,West,Male,0
8,2014-12-31,14:02:00,Afternoon,Health & Fitness,Excersize More,Alaska,West,Female,2
9,2014-12-31,14:07:00,Afternoon,Family/Friends/Relationships,Spend more time with family,Alaska,West,Female,0
10,2014-12-31,16:48:00,Early Evening,Humor,Humor about Personal Growth and Interests Resolutions,Alaska,West,Female,1
11,2014-12-31,17:29:00,Early Evening,Family/Friends/Relationships,Spend more time with family,Alaska,West,Female,0
12,2014-12-31,17:36:00,Early Evening,Personal Growth,Get a tattoo,Alaska,West,Male,1
13,2014-12-31,17:39:00,Early Evening,Personal Growth,Update my wardrobe,Alaska,West,Female,0
14,2015-01-01,01:13:00,Late Night,Personal Growth,Improve my attitude,Alaska,West,Male,0
15,2015-01-01,07:22:00,Early Morning,Health & Fitness,Quit smoking,Alaska,West,Female,0
16,2015-01-01,08:35:00,Early Morning,Personal Growth,Focus on Religion and Faith,Alaska,West,Male,0
17,2014-12-23,13:24:00,Afternoon,Personal Growth,Watch less TV,Alabama,South,Female,0
18,2014-12-24,22:15:00,Night,Personal Growth,Watch less TV,Alabama,South,Male,0
19,2014-12-26,15:04:00,Early Evening,Personal Growth,Be more positive,Alabama,South,Male,0
20,2014-12-27,10:57:00,Morning,Personal Growth,Focus on Religion and Faith,Alabama,South,Female,0
21,2014-12-27,18:23:00,Evening,Philanthropic,Volunteer more,Alabama,South,Female,0
22,2014-12-28,17:12:00,Early Evening,Personal Growth,Be more positive,Alabama,South,Female,0
23,2014-12-28,17:36:00,Early Evening,Health & Fitness,Eat healthier,Alabama,South,Female,0
24,2014-12-28,21:56:00,Night,Humor,Humor about Personal Growth and Interests Resolutions,Alabama,South,Female,0
25,2014-12-29,13:01:00,Afternoon,Humor,Humor about New Years,Alabama,South,Male,0
26,2014-12-29,20:50:00,Evening,Personal Growth,Focus on my self,Alabama,South,Female,0
27,2014-12-30,10:39:00,Morning,Family/Friends/Relationships,Make more time for friends,Alabama,South,Male,0
28,2014-12-30,19:23:00,Evening,Humor,Humor about Family/Friends/Relationships Resolutions,Alabama,South,Male,0
29,2014-12-30,22:40:00,Night,Personal Growth,Curse less,Alabama,South,Male,0
30,2014-12-31,00:04:00,Late Night,Humor,Humor about not Resolutions in general,Alabama,South,Female,0
31,2014-12-31,06:34:00,Early Morning,Personal Growth,Be more positive,Alabama,South,Female,0
32,2014-12-31,06:56:00,Early Morning,Personal Growth,Learn to let things go,Alabama,South,Female,8
33,2014-12-31,09:05:00,Morning,Personal Growth,Respect Others,Alabama,South,Female,3
34,2014-12-31,12:37:00,Afternoon,Finance,Other,Alabama,South,Male,0
35,2014-12-31,13:31:00,Afternoon,Personal Growth,Other,Alabama,South,Male,0
36,2014-12-31,14:08:00,Afternoon,Finance,Save money,Alabama,South,Male,1
37,2014-12-31,15:02:00,Early Evening,Personal Growth,Focus on Religion and Faith,Alabama,South,Female,0
38,2014-12-31,15:03:00,Early Evening,Personal Growth,Be more positive,Alabama,South,Female,0
39,2014-12-31,16:59:00,Early Evening,Personal Growth,Improve my appearance,Alabama,South,Female,0
40,2014-12-31,23:25:00,Night,Health & Fitness,Quit smoking,Alabama,South,Female,0
41,2014-12-31,23:26:00,Night,Personal Growth,Get a tattoo,Alabama,South,Female,0
42,2015-01-01,00:19:00,Late Night,Health & Fitness,Quit smoking,Alabama,South,Female,1
43,2015-01-01,05:23:00,Early Morning,Recreation & Leisure,Spend more time on my hobby,Alabama,South,Male,0
44,2015-01-01,07:32:00,Early Morning,Humor,Humor about New Years,Alabama,South,Male,0
45,2015-01-01,08:40:00,Early Morning,Health & Fitness,Improve my body,Alabama,South,Male,0
46,2015-01-01,11:34:00,Morning,Humor,Humor about Health and Fitness Resolutions,Alabama,South,Female,0
47,2015-01-01,11:59:00,Morning,Humor,Humor about not Resolutions in general,Alabama,South,Female,1
48,2015-01-01,12:28:00,Afternoon,Recreation & Leisure,Other,Alabama,South,Male,0
49,2015-01-02,08:10:00,Early Morning,Humor,Humor about not Resolutions in general,Alabama,South,Female,0
50,2015-01-02,09:54:00,Morning,Finance,Other,Alabama,South,Female,0
51,2014-12-27,08:41:00,Early Morning,Health & Fitness,Go to the gym more,Arkansas,South,Female,0
52,2014-12-27,20:58:00,Evening,Humor,Humor about Personal Growth and Interests Resolutions,Arkansas,South,Male,0
53,2014-12-28,11:57:00,Morning,Humor,Humor about New Years,Arkansas,South,Male,0
54,2014-12-29,14:13:00,Afternoon,Personal Growth,Be more positive,Arkansas,South,Female,0
55,2014-12-30,09:29:00,Morning,Health & Fitness,Lose weight,Arkansas,South,Female,0
56,2014-12-30,21:30:00,Night,Health & Fitness,Eat healthier,Arkansas,South,Female,0
57,2014-12-31,00:56:00,Late Night,Humor,Humor about not Resolutions in general,Arkansas,South,Female,0
