Birthday,Do you use any other BI Tool,Which Power BI section you like the most,Power BI Experience Rating,Quantum Data Rating
09-05-1994,No,Dashboard Designing,5,10
09-05-1994,Yes,Data Modelling,3,8
03-04-1995,Yes,All of the above,5,9
16-01-1996,No,DAX,2,4
11-10-1996,Yes,Power Query,1,1
17-09-1997,No,Dashboard Designing,4,7
09-06-1998,Yes,All of the above,5,8
10-08-1999,No,All of the above,2,6
11-02-2003,Yes,DAX,4,10
09-05-2005,Yes,DAX,3,5
02-01-1999,No,DAX,3,8
24-01-1984,Yes,Data Modelling,1,1
10-03-1999,Yes,All of the above,1,8
06-11-1997,No,Dashboard Designing,5,6
09-03-2005,Yes,Data Modelling,3,10
26-06-1997,Yes,Data Modelling,5,9
25-07-1988,Yes,DAX,2,4
06-02-1985,No,All of the above,4,2
12-01-2004,No,All of the above,5,2
07-02-1992,Yes,Data Modelling,5,2
11-09-1990,No,All of the above,5,2
04-12-2000,Yes,Data Modelling,4,1
29-10-1988,No,Data Modelling,1,2
27-09-1997,Yes,Power Query,3,4
19-01-1991,No,Dashboard Designing,5,3
30-04-1986,No,DAX,1,3
23-07-1995,Yes,All of the above,3,5
04-06-1998,Yes,All of the above,3,8
15-09-1993,No,Power Query,5,2
30-08-1991,No,Power Query,2,2
09-05-1994,Yes,DAX,3,6
11-04-1988,Yes,All of the above,1,10
18-07-1993,Yes,Dashboard Designing,4,8
20-02-1996,No,DAX,4,6
19-01-2000,Yes,All of the above,4,3
20-01-1996,Yes,Data Modelling,4,9
18-01-1992,Yes,All of the above,4,5
10-12-1996,Yes,All of the above,4,8
14-06-1993,No,Data Modelling,4,9
28-03-2005,Yes,All of the above,4,8
04-10-1986,Yes,All of the above,4,8
29-11-2003,Yes,Power Query,4,1
19-04-2000,No,Power Query,4,10
31-10-1989,No,Power Query,4,3
14-11-1988,Yes,All of the above,4,6
09-10-1994,Yes,All of the above,4,8
02-04-2001,No,Data Modelling,5,9
24-04-1989,No,Data Modelling,5,1
10-05-1987,No,Power Query,5,8
19-06-1991,Yes,DAX,2,2
07-06-1986,No,Dashboard Designing,2,1
11-07-2002,Yes,All of the above,1,6
08-08-2003,Yes,Power Query,3,8
10-02-2000,Yes,All of the above,3,9
10-03-1991,No,DAX,4,7
27-06-1987,No,All of the above,4,10
02-03-1993,No,Power Query,5,6
17-03-1993,No,Power Query,1,5
22-06-1992,No,All of the above,5,6
